# CUI ; Name ; SemanticTypes
C0013456 ; Earache ; sosy
C0018777 ; Conductive hearing loss ; dsyn
C0155540 ; Ear discharge ; fndg
C0019080 ; Hemorrhage ; patf
C0000737 ; Abdominal pain ; sosy
C0008031 ; Chest pain NOS ; sosy
C0030193 ; Pain ; sosy
C0085593 ; Chills ; sosy
C0221423 ; Illness (finding) ; sosy
C0231218 ; Malaise ; sosy
C2979982 ; Vaginal hemorrhage ; dsyn
C0009555 ; Complete blood count ; lbpr
C0018941 ; Blood test ; lbpr
C0023901 ; Liver function test ; lbpr
C0042014 ; Urinalysis ; lbpr
C0041618 ; Ultrasonography ; diap
C0023185 ; Learning ; menp
C1623258 ; Electrocardiography ; diap
C0162429 ; Malnutrition ; dsyn
C0333467 ; Cytopathic effect ; patf
C0564567 ; Impulsive character (finding) ; mobd
C0424295 ; Hyperactive behavior ; mobd
C0011570 ; Depression NOS ; mobd
C0233469 ; Blunted affect ; mobd
C0038999 ; Swelling ; fndg
C0005779 ; Blood coagulation disorder ; dsyn
C0018965 ; Hematuria ; fndg
C0037763 ; Spasm ; sosy
C0042373 ; Vascular disease ; dsyn
C0392525 ; Nephrolithiasis ; dsyn
C0002978 ; Angiogram ; diap
C0026821 ; Muscle cramp ; sosy
C0035078 ; Renal insufficiency ; dsyn
C0150055 ; Chronic pain ; sosy
C0278140 ; Severe pain ; fndg
C0404484 ; Chronic pelvic pain of female ; sosy
C0022650 ; Calculus of kidney ; dsyn
C1458140 ; Bleeding tendency ; patf
C0034186 ; Pyelonephritis ; dsyn
C0017168 ; Gastroesophageal reflux disease ; dsyn
C0030920 ; Peptic ulcer NOS ; dsyn
C0018834 ; Heartburn ; sosy
C0027498 ; Nausea and vomiting ; sosy
C1262477 ; Weight decreased ; fndg
C0012739 ; Disseminated intravascular coagulation ; dsyn
C0015663 ; Fasting ; fndg
C0019065 ; Hemoperitoneum ; patf
C0278152 ; Hemifacial spasm ; fndg
C0013839 ; Electromyography ; diap
C0024485 ; Magnetic resonance imaging ; diap
C0027853 ; Neurological examination ; diap
C0010709 ; Cyst ; dsyn
C0221198 ; Lesion ; fndg
C0241157 ; Pustule, NOS ; fndg
C0332563 ; Papule ; fndg
C0028754 ; Obesity ; dsyn
C1384666 ; Hearing impairment ; fndg
C0033377 ; Ptosis ; dsyn
C0027365 ; Name ; inpr
C0008924 ; Cleft lip NOS ; cgab
C0242301 ; Furuncle ; dsyn
C0344315 ; Depressed mood ; fndg
C0009492 ; Compartment syndrome, NOS ; dsyn
C0343166 ; Knee joint effusion ; fndg
C0036572 ; Convulsions ; sosy
C0010702 ; Cystoscopy ; diap
C0231221 ; Asymptomatic ; fndg
C0003864 ; Arthritis ; dsyn
C0030552 ; Paresis ; sosy
C0522224 ; Paralysis NOS ; fndg
C0004238 ; Atrial fibrillation ; dsyn
C0009443 ; Common cold ; dsyn
C0011849 ; Diabetes mellitus, NOS ; dsyn
C0032617 ; Polyuria ; sosy
C0162283 ; Nephrogenic diabetes insipidus, NOS ; dsyn
C0085602 ; Polydipsia ; sosy
C0011848 ; Diabetes insipidus, NOS ; dsyn
C0020456 ; Hyperglycemia ; dsyn
C0020502 ; Hyperparathyroidism ; dsyn
C0020550 ; Hyperthyroidism ; dsyn
C0020621 ; Hypokalemia ; fndg
C0018802 ; Congestive heart failure ; dsyn
C0043046 ; Wasting disease ; dsyn
C0149931 ; Migraine NOS ; dsyn
C0038454 ; Cerebrovascular accident ; dsyn
C0017639 ; Gliosis ; patf
C0020564 ; Hypertrophy ; patf
C0022116 ; Ischemia ; patf
C0020538 ; Hypertensive disease ; dsyn
C0018099 ; Gout ; dsyn
C0221333 ; Hypouricemia ; dsyn
C0002878 ; Hemolytic anemia, NOS ; dsyn
C0032461 ; Polycythemia ; dsyn
C0311277 ; Truncal obesity ; fndg
C0200648 ; Synovial fluid analysis ; lbpr
C0221168 ; Podagra ; dsyn
C0023508 ; White blood cell count ; lbpr
C1619634 ; Erythrocyte sedimentation rate ; lbtr
C0003862 ; Arthralgia ; sosy
C0015672 ; Fatigue ; sosy
C0152031 ; Joint swelling ; sosy
C1527347 ; Difficulty speaking ; fndg
C3714552 ; Weakness ; sosy
C0003635 ; Apraxia, NOS ; mobd
C0497327 ; Dementia ; mobd
C0013362 ; Dysarthria ; mobd
C0333641 ; Atrophic ; patf
C0234471 ; Associative aphasia ; mobd
C0917814 ; Expressive aphasia ; mobd
C0003537 ; Aphasia ; mobd
C0003550 ; Broca's aphasia ; mobd
C0005558 ; Biopsy ; diap
C0041296 ; Tuberculosis ; dsyn
C0024205 ; Lymphadenitis ; dsyn
C0239574 ; Low grade fever ; fndg
C0497156 ; Lymphadenopathy ; fndg
C0013604 ; Edema ; fndg
C0015230 ; Exanthema ; sosy
C1291077 ; Abdominal bloating ; sosy
C3714514 ; Infection ; patf
C0231519 ; Gegenhalten ; fndg
C0542476 ; Forgetful ; sosy
C0235198 ; Unable to concentrate ; fndg
C0424101 ; Inattention ; mobd
C0004936 ; Mental disorders NOS ; mobd
C0012746 ; Dissociative disorder ; mobd
C0033975 ; Psychotic disorder ; mobd
C0525045 ; Mood disorder ; mobd
C0002871 ; Anemia ; dsyn
C0017181 ; Gastrointestinal hemorrhage, NOS ; patf
C0005874 ; Blushing ; sosy
C0016382 ; Flushing ; sosy
C0001144 ; Acne vulgaris ; dsyn
C0037301 ; Wrinkled skin ; fndg
C0036508 ; Seborrheic dermatitis ; dsyn
C0018790 ; Cardiac arrest ; dsyn
C0033774 ; Pruritus ; sosy
C0035466 ; Rhinophyma ; dsyn
C0039446 ; Telangiectasis ; dsyn
C0041834 ; Erythema ; dsyn
C0241165 ; Thick skin ; sosy
C0344232 ; Blurred vision ; sosy
C0406486 ; Ocular rosacea ; dsyn
C0423602 ; Foreign body sensation ; fndg
C0456909 ; Blindness, NOS ; fndg
C0000833 ; Abscess ; dsyn
