source;snapshot;DBpDis;WVRDArt;WRDArt;WRawDF;WVRawDF;WTxt;WST;WExCd;WExtSrc;WLink
wikipedia;01/02/2018;8,161;5,536;3,625;13,332;1,932;30,932;17;19,203;61;148,640
wikipedia;15/02/2018;8,161;5,537;3,631;13,356;1,934;31,009;17;19,161;60;149,073
wikipedia;01/03/2018;8,161;5,536;3,636;13,393;1,937;31,199;17;19,116;60;149,799
wikipedia;15/03/2018;8,161;5,536;3,644;13,431;1,942;31,463;17;19,102;60;151,065
wikipedia;01/04/2018;9,857;5,840;3,841;13,598;1,949;32,956;17;19,302;62;157,585
wikipedia;15/04/2018;9,858;5,841;3,846;13,608;1,950;33,016;17;19,289;62;158,107
wikipedia;01/05/2018;9,858;5,843;3,860;13,630;1,954;33,153;17;19,272;62;158,910
wikipedia;15/05/2018;9,858;5,843;3,871;13,692;1,955;33,246;17;19,270;62;159,262
wikipedia;01/06/2018;9,858;5,854;4,047;13,853;1,964;34,376;17;19,246;58;163,710
wikipedia;15/06/2018;9,858;5,856;4,061;14,169;1,968;34,584;18;19,224;58;164,709
wikipedia;01/07/2018;9,858;5,855;4,062;13,980;1,970;34,953;17;19,209;59;165,732
wikipedia;15/07/2018;9,858;5,858;4,069;13,991;1,970;35,044;17;19,207;58;166,127
wikipedia;01/08/2018;9,858;5,859;4,083;14,013;1,972;35,153;17;19,202;58;166,814
wikipedia;15/08/2018;9,858;5,861;4,087;14,019;1,972;35,247;17;19,201;58;167,300
wikipedia;01/09/2018;9,858;5,862;4,090;14,022;1,973;35,296;17;19,333;58;167,584
wikipedia;15/09/2018;9,858;5,862;4,091;14,022;1,973;35,293;17;19,339;58;167,688
wikipedia;01/10/2018;9,858;5,861;4,093;14,032;1,973;35,343;17;19,351;58;167,928
wikipedia;15/10/2018;9,858;5,861;4,097;14,050;1,973;35,449;17;19,360;58;168,497
wikipedia;01/11/2018;9,858;5,859;4,101;14,064;1,974;35,522;17;19,360;58;168,972
wikipedia;15/11/2018;9,858;5,858;4,106;14,089;1,974;35,657;17;19,366;58;169,745
wikipedia;01/12/2018;9,858;5,855;4,111;14,140;1,976;35,778;17;19,355;59;170,344
wikipedia;15/12/2018;9,858;5,860;4,119;14,159;1,978;35,949;17;19,365;59;171,203
wikipedia;01/01/2019;9,858;5,860;4,128;14,182;1,981;36,111;17;19,365;59;172,082
wikipedia;15/01/2019;9,858;5,872;4,139;14,185;1,981;36,192;17;19,366;59;172,456
wikipedia;01/02/2019;11,084;6,714;4,692;14,722;2,009;40,913;17;20,237;59;193,860
wikipedia;15/02/2019;11,084;6,714;4,692;14,722;2,009;40,913;17;20,237;59;193,860
;;;;;;;;;;;
Medical Term (MT);;;;;;;;;;;
Validated Medical Term (applaying TVP validation) (VMT) ;;;;;;;;;;;
;;;;;;;;;;;
Number of articles retrieved by DBpedia as diseases (DBpDis);;;;;;;;;;;
Number of valid Wikipedia articles to insert in the database  (WVRDArt);;;;;;;;;;;
Number of Wikipedia articles that contains VMT (WRDArt);;;;;;;;;;;
Number of MT found by MetaMap (not applying TVP validation but removing duplicates) (WRawDF);;;;;;;;;;;
Number of MT found by MetaMap (applying TVP validation but removing duplicates) (WVRawDF);;;;;;;;;;;
Number of texts (WTxt);;;;;;;;;;;
Number of semantic types found (again: before applying TVP) (WST);;;;;;;;;;;
Number of external codes found in Wikipedia (WExCd);;;;;;;;;;;
Number of external sources found in Wikipedia (WExtSrc);;;;;;;;;;;
Number of links found in the texts (WLink);;;;;;;;;;;
