source;snapshot;DBpDis;WVRDArt;WRDArt;WRawDF;WVRawDF;WTxt;WST;WExCd;WExtSrc;WLink
wikipedia;01/02/2018;8,161;5,536;3,565;9,937;1,565;31,126;11;19,229;64;149,368
wikipedia;15/02/2018;8,161;5,537;3,572;9,953;1,566;31,203;11;19,187;63;149,802
wikipedia;01/03/2018;8,161;5,536;3,643;11,697;1,848;31,393;15;19,141;62;150,528
wikipedia;15/03/2018;8,161;5,536;3,650;11,731;1,853;31,657;15;19,127;63;151,794
wikipedia;01/04/2018;9,857;5,840;3,856;11,889;1,860;33,203;15;19,327;65;158,574
wikipedia;15/04/2018;9,858;5,841;3,866;12,571;1,890;33,263;16;19,314;65;159,097
wikipedia;01/05/2018;9,858;5,843;3,879;12,595;1,894;33,400;16;19,297;65;159,900
wikipedia;15/05/2018;9,858;5,843;3,891;12,642;1,895;33,490;16;19,295;65;160,201
wikipedia;01/06/2018;9,858;5,854;4,068;12,918;1,911;34,628;17;19,271;61;164,727
;;;;;;;;;;;
Medical Term (MT);;;;;;;;;;;
Validated Medical Term (applaying TVP validation) (VMT) ;;;;;;;;;;;
;;;;;;;;;;;
Number of articles retrieved by DBpedia as diseases (DBpDis);;;;;;;;;;;
Number of valid Wikipedia articles to insert in the database  (WVRDArt);;;;;;;;;;;
Number of Wikipedia articles that contains VMT (WRDArt);;;;;;;;;;;
Number of MT found by MetaMap (not applying TVP validation but removing duplicates) (WRawDF);;;;;;;;;;;
Number of MT found by MetaMap (applying TVP validation but removing duplicates) (WVRawDF);;;;;;;;;;;
Number of texts (WTxt);;;;;;;;;;;
Number of semantic types found (again: before applying TVP) (WST);;;;;;;;;;;
Number of external codes found in Wikipedia (WExCd);;;;;;;;;;;
Number of external sources found in Wikipedia (WExtSrc);;;;;;;;;;;
Number of links found in the texts (WLink);;;;;;;;;;;
